Country	Population	Christian	Muslim	Irreligion	Hindu	Buddhist	Folk religion	Other religion	Jewish
Barbados	270	257,04	2,7	5,13	1,08	0	0	3,78	0
Cayman Islands	60	50,1	240	5,64	540	0	2,7	360	450
Cuba	11,260,000	6,665,920	11,116	2,589,800	22,52	0	1,959,240	0	0
Dominica	70	66,08	70	350	0	70	2,1	1,19	0
Dominican Republic	9,930,000	8,738,400	2	1,082,370	0	0	89,37	9,93	0
Grenada	100	96,6	300	1	700	0	1,3	200	0
Guadeloupe	460	441,14	1,84	11,5	2,3	0	1,84	1,84	0
Haiti	9,990,000	8,681,310	5	1,058,940	0	0	219,78	29,97	0
Jamaica	2,740,000	2,115,280	5,624	471,28	0	0	123,3	27,4	0
Martinique	410	395,65	820	9,43	820	0	820	2,46	0
Montserrat	5	4,675	100	240	5	0	10	75	0
Netherlands Antilles	200	187,8	400	6,6	400	1	2,4	600	600
Puerto Rico	3,750,000	3,626,250	1	71,25	0	11,25	30	3,75	0
Saint Kitts and Nevis	50	47,3	150	800	750	0	650	400	0
Saint Lucia	170	154,87	170	10,2	510	0	850	3,4	0
Saint Vincent and the Grenadines	110	97,57	1,65	2,75	3,74	0	2,2	2,2	0
Trinidad and Tobago	1,340,000	883,06	80	25,46	304,18	4,02	25,46	18,76	0
Turks and Caicos Islands	40	36,84	40	1,84	0	0	1,08	240	0
British Virgin Islands	20	16,9	240	780	240	0	1,68	160	0
U.S. Virgin Islands	110	104,28	110	4,07	440	0	0	660	330
Belize	310	271,56	310	27,59	620	1,55	4,65	310	3,1
Costa Rica	4,660,000	4,235,940	1,5	368,14	0	0	37,28	13,98	0
El Salvador	6,190,000	5,459,580	2	680,9	0	0	30,95	18,57	0
Guatemala	14,390,000	13,699,280	1,2	589,99	0	0	86,34	10	0
Honduras	7,600,000	6,657,600	7,6	798	0	7,6	83,6	45,6	0
Nicaragua	5,790,000	4,967,820	1	723,75	0	0	81,06	5,79	0
Panama	3,520,000	3,273,600	25	168,96	0	7,04	14,08	14,08	14,08
Bermuda	60	45	660	11,64	0	300	1,8	480	180
